ATEN,GLADOR,GLIMISAVE,GLUCONORM,S-NUMLO,STAMLO,TELMA,TELMIKIND
498,20,142,628,95,1373,3494,1401
527,27,133,480,84,1493,1303,1137
481,25,156,480,86,1234,2488,1297
372,29,110,391,66,1368,2993,1327
202,26,60,134,28,454,813,161
512,17,188,635,66,2112,4913,1786
490,27,146,399,47,1535,3644,1574
492,20,119,463,66,1286,3183,1352
466,24,135,407,39,1051,2462,1365
393,18,111,410,80,1168,2504,1508
346,21,81,315,68,1400,3416,1345
183,20,22,87,7,235,415,231
484,19,155,530,69,1609,3715,1910
412,23,144,389,54,1376,2877,1279
407,20,104,374,64,1251,2053,1344
397,22,127,378,52,1073,2063,1373
367,18,87,382,55,1232,2933,1365
313,20,80,288,69,1340,3182,1304
150,20,14,61,17,219,379,139
438,20,158,524,74,1716,3087,1824
381,21,126,394,65,1334,3641,1458
370,15,82,360,55,1355,3253,1396
355,22,123,373,35,1193,3138,1381
340,18,107,360,69,1275,3072,1358
307,22,81,284,51,1289,3000,1284
146,18,8,67,10,212,436,201
398,18,145,519,65,1790,4126,1908
347,19,130,388,64,1419,2120,1383
344,15,95,348,55,1396,2765,1322
338,21,126,352,43,1211,2310,1317
322,15,94,339,44,1236,2291,1354
274,18,75,278,59,1265,2982,1307
